participant_id,itemid,itemtype,answer,correct,answer_which,message,target,competitor,distractor,presentation_order,answer_order,trialid,item_fewer_cats,targetpos,study
2,1,filler type b,gm_rh,1,target,rh,gm_rh,pm_sc,pm_bh,"gm_rh, pm_sc, pm_bh",1,2,filler unambiguous,1,pilot
2,2,target complex,gm_rh,1,target,rh,gm_rh,pm_rh,gm_sc,"gm_sc, pm_rh, gm_rh",3,5,target complex,3,pilot
2,3,filler ambiguous,pm_rh,1,target,rh,pm_rh,pm_rh,gm_bh,"pm_rh, gm_bh, pm_rh",3,59,filler ambiguous,3,pilot
2,4,filler type a,pm_rh,1,target,rh,pm_rh,pm_sc,gm_bh,"pm_rh, gm_bh, pm_sc",1,13,filler unambiguous,1,pilot
2,5,target complex,gm_bh,0,competitor,bh,pm_bh,gm_bh,pm_sc,"pm_bh, pm_sc, gm_bh",3,45,target complex,1,pilot
2,6,filler unambiguous,pm_rh,1,target,rh,pm_rh,gm_sc,ro_bh,"pm_rh, gm_sc, ro_bh",1,60,filler unambiguous,1,pilot
2,7,target complex,gm_rh,0,competitor,gm,gm_bh,gm_rh,ro_bh,"ro_bh, gm_rh, gm_bh",2,40,target complex,3,pilot
2,8,target simple,pm_sc,1,target,pm,pm_sc,pm_rh,gm_bh,"gm_bh, pm_sc, pm_rh",2,16,target simple,2,pilot
2,9,filler ambiguous,gm_bh,0,competitor,gm,gm_bh,gm_bh,pm_sc,"gm_bh, pm_sc, gm_bh",1,51,filler ambiguous,3,pilot
2,10,filler type c,pm_rh,1,target,rh,pm_rh,pm_bh,ro_bh,"pm_bh, ro_bh, pm_rh",3,55,filler unambiguous,3,pilot
2,11,filler type c,gm_rh,1,target,rh,gm_rh,gm_bh,ro_bh,"gm_rh, ro_bh, gm_bh",1,41,filler unambiguous,1,pilot
2,12,target simple,gm_bh,0,competitor,bh,ro_bh,gm_bh,pm_rh,"ro_bh, gm_bh, pm_rh",2,9,target simple,1,pilot
2,13,filler type a,pm_bh,1,target,bh,pm_bh,pm_sc,gm_rh,"pm_bh, pm_sc, gm_rh",1,11,filler unambiguous,1,pilot
2,14,filler unambiguous,gm_rh,1,target,rh,gm_rh,pm_bh,ro_sc,"gm_rh, ro_sc, pm_bh",1,58,filler unambiguous,1,pilot
